# ARM64 NEON Baseline Performance — Graviton3 (AWS Graviton3, AArch64)
# Captured: 2026-03-31
# Platform: Ubuntu 22.04, AWS Graviton3 (arm64)
# Build: ./configure --enable-neon --arch=aarch64 + make -j$(nproc)
# Tool: tests/checkasm/checkasm --bench
# perf_event_paranoid=-1 required: sudo sysctl -w kernel.perf_event_paranoid=-1
# Units: cycles (lower is better). Speedup = c_cycles / neon_cycles.
# NOTE: blockdsp.fill_block_tab[0]_neon shows 0.82x regression — flagged for investigation.

# ─────────────────────────────────────────────────────────────────────
# blockdsp  (libavcodec/aarch64/blockdsp_neon.S)
# ─────────────────────────────────────────────────────────────────────
blockdsp.clear_block_c:                                   5.7 ( 1.00x)
blockdsp.clear_blocks_c:                                 22.7 ( 1.00x)
blockdsp.fill_block_tab[0]_c:                            20.6 ( 1.00x)
blockdsp.fill_block_tab[0]_neon:                         24.9 ( 0.82x)  ← REGRESSION
blockdsp.fill_block_tab[1]_c:                            17.1 ( 1.00x)
blockdsp.fill_block_tab[1]_neon:                         17.1 ( 1.00x)

# ─────────────────────────────────────────────────────────────────────
# audiodsp  (libavcodec/aarch64/audiodsp_neon.S)
# ─────────────────────────────────────────────────────────────────────
audiodsp.scalarproduct_int16_c:                        4134.8 ( 1.00x)
audiodsp.scalarproduct_int16_neon:                      688.1 ( 6.01x)
audiodsp.vector_clip_int32_c:                          5399.6 ( 1.00x)
audiodsp.vector_clip_int32_neon:                        996.4 ( 5.42x)
audiodsp.vector_clipf_c:                               9070.2 ( 1.00x)
audiodsp.vector_clipf_neon:                             996.6 ( 9.10x)

# ─────────────────────────────────────────────────────────────────────
# flacdsp   (libavcodec/aarch64/flacdsp_neon.S)
# ─────────────────────────────────────────────────────────────────────
# decorrelate
flac_decorrelate_ls_16_c:                               126.6 ( 1.00x)
flac_decorrelate_ls_16_neon:                             47.4 ( 2.67x)
flac_decorrelate_ls_32_c:                               140.2 ( 1.00x)
flac_decorrelate_ls_32_neon:                             49.6 ( 2.83x)
flac_decorrelate_ms_16_c:                               141.3 ( 1.00x)
flac_decorrelate_ms_16_neon:                             66.0 ( 2.14x)
flac_decorrelate_ms_32_c:                               145.5 ( 1.00x)
flac_decorrelate_ms_32_neon:                             61.7 ( 2.36x)
flac_decorrelate_rs_16_c:                               125.0 ( 1.00x)
flac_decorrelate_rs_16_neon:                             47.7 ( 2.62x)
flac_decorrelate_rs_32_c:                               132.2 ( 1.00x)
flac_decorrelate_rs_32_neon:                             49.5 ( 2.67x)
# lpc  — dispatch threshold pred_order >= 20 (below threshold → 0.94-1.01x by design)
flac_lpc_16_13_c:                                      3428.6 ( 1.00x)
flac_lpc_16_13_neon:                                   3456.9 ( 0.99x)  ← below threshold (design)
flac_lpc_16_16_c:                                      4207.0 ( 1.00x)
flac_lpc_16_16_neon:                                   4328.6 ( 0.97x)  ← below threshold (design)
